tconst,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0000126,5.7,15,short,Tom Old Boot,Tom Old Boot,0,1896,\N,\N,Short
tt0000127,4.5,12,short,Les tribulations d'un concierge,Les tribulations d'un concierge,0,1896,\N,\N,Comedy
tt0000127,4.5,12,short,Les tribulations d'un concierge,Les tribulations d'un concierge,0,1896,\N,\N,Short
tt0000128,5.9,22,short,Academy for Young Ladies,Un lyc̩e de jeunes filles,0,1896,\N,\N,Short
tt0000129,6.8,32,short,Un petit diable,Un petit diable,0,1896,\N,\N,Short
tt0000130,5.4,14,short,Une altercation au caf̩,Une altercation au caf̩,0,1896,\N,\N,Short
tt0000131,5.8,963,short,A Terrible Night,Une nuit terrible,0,1896,\N,1,Comedy
tt0000131,5.8,963,short,A Terrible Night,Une nuit terrible,0,1896,\N,1,Horror
tt0000131,5.8,963,short,A Terrible Night,Une nuit terrible,0,1896,\N,1,Short
tt0000132,5.1,807,short,Card Party,Une partie de cartes,0,1896,\N,1,Biography
tt0000132,5.1,807,short,Card Party,Une partie de cartes,0,1896,\N,1,Short
tt0000133,6.7,19,short,La voiture du potier,La voiture du potier,0,1896,\N,\N,Short
tt0000134,4.7,7,short,The Wandering Negro Minstrels,The Wandering Negro Minstrels,0,1896,\N,\N,Music
tt0000134,4.7,7,short,The Wandering Negro Minstrels,The Wandering Negro Minstrels,0,1896,\N,\N,Short
tt0000135,7.0,48,short,A Watermelon Feast,A Watermelon Feast,0,1896,\N,\N,Documentary
tt0000135,7.0,48,short,A Watermelon Feast,A Watermelon Feast,0,1896,\N,\N,Short
tt0000136,6.3,280,short,L'arroseur arros̩,L'arroseur arros̩,0,1897,\N,1,Comedy
tt0000136,6.3,280,short,L'arroseur arros̩,L'arroseur arros̩,0,1897,\N,1,Short
tt0000137,4.5,8,short,Au r̩fectoire,Au r̩fectoire,0,1897,\N,\N,Comedy
tt0000137,4.5,8,short,Au r̩fectoire,Au r̩fectoire,0,1897,\N,\N,Short
tt0000138,6.5,742,short,The Bewitched Inn,L'auberge ensorcel̩e,0,1897,\N,2,Comedy
